Name,Address,Productor,PorpertyCompany,Start-Time,Type,Delivery-Time,Plot-Ratio,LimitOfusingTime,Green-Rate,Planning-homesNum,Property-fee,Floor-Area,Building-Area,Price,DanWei
万科海上传奇,浦东-御桥路1751号,上海地杰置业有限公司,上海万科物业管理公司,2015-07-24-,住宅,2018-12-,2.00,70年,45%,2256,3.4,120000,250,,
泷湾苑,青浦-业前路1688弄,上海和新房产开发有限公司,家利物业管理(上海)有限公司,2016-03-16-,别墅,2016-12-01-,1.02,70年,35%,510,3.9,144482,151,,
中福浦江汇,黄浦-海潮路133弄,上海中福地产置业有限公司,上海中福联合物业管理有限公司,2016-11-18-,住宅,2014-09-02-,3.50,70年,35%,2276,3.3,46069,46,,
东方鸿璟,浦东-航亭环路399弄,上海航亭置业有限公司,上海绿城物业有限公司,2017-09-03-,住宅,2016-06-30-,1.40,70年,35%,790,3.3,76414,146,36500,元/平
嘉宝前滩后院,云台路1101弄,嘉宝集团,嘉宝物业,2017-06-05-,别墅,2018-01-,1.20,70年,35%,152,8,25736,59,1620,万/套
绿地天呈,胜竹路2600号,上海绿地嘉唐置业有限公司,盛全物业,2017-07-06-,住宅,2018-11-30-,2.00,70年、40年,35%,1083,3,80000,160,44000,元/平
东滩豫翠苑,北陈公路银鸥西路路口,上海崇明豫商置业有限公司,临客嘉物业经营管理(上海)有限公司,2017-02-05-,别墅,2018-06-30-,1.00,70年,35%,448,5.8,54052,53,453,元/平米
禹洲雍贤府,奉贤浦星公路与大叶公路交汇处,上海泽翔房地产开发有限公司,禹洲物业服务有限公司上海分公司,2017-06-25-,别墅,2019-09-30-,1.60,70年,35%,1860,3.5,109266,268,317,万/套
正阳世纪星城,正环路666弄,上海临港奉贤置业有限公司,上海陆家嘴物业管理有限公司,2014-10-08-,住宅,2015-11-30-,1.34,70年,37%,84,,191666,230,,
韵湖豪庭,太仓市沙溪镇德西路688号,建伟控股集团,苏州华新国际物业有限公司,2017-02-06-,住宅,2019-06-30-,2.00,70年,30%,1088,2,53000,120,14000,元/平米
金地双都汇,明兴路18弄,上海鑫威房地产开发有限公司,上海金地物业服务有限公司,2017-05-20-,别墅,预计2018-05-,1.40,70年,35%,923,3.2,65000,130,,
古北金鹰府,虹中路399弄,金鹰申集团有限公司,南京金鹰资产物业管理有限公司上海分公司,2017-04-28-,住宅,预计2018-07-,1.75,70年、40年,35%,832,5.8,51018,134,,
盛世荟庭,浦东川南奉公路拱北路口,上海东鉴房地产开发有限公司,浦房物业服务中心有限公司,2018-01-15-,住宅,2019-12-,1.80,70年,40%,558,2.98,32166,52,,
信义嘉庭,嘉定-翁家宅路89弄,信义置业（上海）有限公司,上海复瑞物业管理有限公司,2016-08-15-,住宅,2017-12-,2.20,70年,35%,1187,2.8,57750,188,40000,元/平
中粮南桥半岛,奉贤-贤政路333弄(近解放东路),上海悦鹏置业发展有限公司,中粮地产集团深圳物业管理有限公司上海分公司,2014-10-15-,住宅,2014-06-29-,1.60,70年,35%,782,2.4,38756,81,,
臻品嘉园(公寓),嘉定-双单路999弄(云谷路旁),上海绿地源盛置业有限公司,长城物业公司,2014-05-24-,别墅,2015-06-30-,1.75,70年,35%,1614,2.2,85000,228,,
尚海郦景,浦东-桃林路299弄,上海地产（集团）有限公司,上海新古北物业管理有限公司,2016-09-03-,别墅,2018-01-,2.50,70年,35%,1772,6.5,115786,286,4250,万/套
风荷丽景尚城,宝塔路99弄,上海鼎申置业发展有限公司,深圳市鼎太物业管理有限公司,2016-07-02-,别墅,2012-01-01-,0.78,70年,35%,2137,1.9,150680,326,943,万/套
泰禾红桥,青浦-青湖东路555弄,上海禾启房地产开发有限公司,泰禾物业,2017-05-07-,住宅,2017-06-30-,2.00,70年、40年,35%,1363,3.2,63679,121,41000,元/平
中金海棠湾(公寓),浦东-周东南路599弄,上海康桥高科创业发展有限公司,上海联源物业发展有限公司,2017-12-08-,住宅,2018-01-01-,1.29,70年,35%,1175,2.2,130000,240,650,元/平米
金臣别墅,闵行-金光路801弄（近北青公路）,上海金臣房地产发展有限公司,广东中奥物业管理有限公司,2014-11-08-,别墅,2015-12-,0.35,70年,43%,89,9.8,111549,44,8133,万/套
翠湖天地隽荟,卢湾－济南路260弄,上海骏兴房地产开发有限公司,上海丰诚物业管理有限公司,2016-09-10-,住宅,2017-04-30-,4.00,70年,35%,302,19.2,20364,87,,
万科翡翠公园(公寓),浦东-环科路677弄,上海万之江房地产开发有限公司,万科物业,2017-03-29-,住宅,待定,2.88,70年,35%,1974,5.8,105000,300,,
